Unique ID,Timestamp,Gender^,Country of Nationality^,Country of Residence^,What is your primary occupation?^,Select the option below that best describes your field of study or expertise^,What is your primary area of interest within OpenCon’s program areas?^,"Are you currently engaged in activities to advance Open Access, Open Education, and/or Open Data?^",Are you planning to participate in any of the following events this year?^,Do you have any of the following skills or interests?^
63578533,6/1/2015 16:47:21,Male,Yemen,Yemen,PhD candidate,Engineering/Technology - Civil engineering,Open Education,No,Open Access Week; Open Education Week,Graphic Design; Video Editing; Community / Grassroots Organizing; Social Media Campaigns; Research about OpenCon's Issue Areas
17275210,6/1/2015 16:50:18,Female,Mexico,Mexico,Faculty/teacher,Social Sciences - Law,Open Access,Yes,Open Access Week; Open Education Week,Community / Grassroots Organizing; Blogging; Advocacy and Policy; Event Logistics; Research about OpenCon's Issue Areas
24165035,6/1/2015 16:51:56,Male,India,India,PhD candidate,Engineering/Technology - Environmental engineering,Open Access,No,Open Access Week; Open Education Week; Open Data Day,Coding; Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Volunteer Management
17056171,6/1/2015 16:53:10,Male,Mexico,United States of America,Masters/professional student,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Education,Yes,,Coding; Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Advocacy and Policy
30361665,6/1/2015 16:58:42,Male,Jamaica,Italy,PhD candidate,None of these describes my field of study or expertise,Open Access,Yes,Open Access Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Event Logistics
41537891,6/1/2015 16:59:37,Female,Brazil,Brazil,Researcher (non-faculty),Social Sciences - Media and communications,Open Data,Yes,,Website Management / Design; Communications and Media; Blogging; Research about OpenCon's Issue Areas
88626047,6/1/2015 17:00:02,Female,Chile,Chile,Professional advocate,Social Sciences - Economics and business,Open Access,Yes,,Community / Grassroots Organizing; Fundraising; Advocacy and Policy; Research about OpenCon's Issue Areas
31385305,6/1/2015 17:00:59,Male,Nigeria,United States of America,PhD candidate,Natural Sciences - Earth and related environmental sciences,Open Access,No,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
23730507,6/1/2015 17:04:32,Male,Argentina,Argentina,Researcher (non-faculty),Agricultural Sciences - Agricultural biotechnology,Open Access,No,Open Access Week; Open Data Day,Fundraising; Event Logistics; Volunteer Management
10897421,6/1/2015 17:16:03,Male,Serbia,Serbia,Faculty/teacher,Engineering/Technology - Materials engineering,Open Access,No,,Website Management / Design; Graphic Design; Event Logistics
52625658,6/1/2015 17:17:03,Female,Uruguay,Uruguay,Undergraduate student,Humanities - Languages and literature,Open Data,Yes,,Communications and Media; Blogging
37707848,6/1/2015 17:18:30,Female,Spain,Costa Rica,Researcher (non-faculty),Social Sciences - Other social sciences,Open Education,Yes,,Communications and Media; Blogging; Advocacy and Policy; Event Logistics; Research about OpenCon's Issue Areas
29750545,6/1/2015 17:27:20,Female,Jamaica,Jamaica,Other: Ed.D Candidate,Social Sciences - Educational sciences,Open Access,Yes,Open Education Week,Social Media Campaigns; Blogging
34604906,6/1/2015 17:30:50,Female,Poland,Poland,Undergraduate student,Social Sciences - Media and communications,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Social Media Campaigns; Communications and Media; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
10616389,6/1/2015 17:40:00,Male,Egypt,Egypt,Masters/professional student,Medicine/Health Sciences - Health sciences,Open Education,No,Open Access Week; Open Education Week; Open Data Day,Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
51847232,6/1/2015 17:42:11,Male,United States of America,United States of America,Librarian,"Humanities - Philosophy, ethics and religion",Open Access,Yes,Open Access Week,Website Management / Design; Community / Grassroots Organizing; Blogging; Research about OpenCon's Issue Areas
12245756,6/1/2015 17:58:57,Female,Nigeria,Nigeria,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Volunteer Management
14650123,6/1/2015 17:59:47,Female,United States of America,United States of America,Librarian,Humanities - Other humanities,Open Access,Yes,,Social Media Campaigns; Event Logistics; Volunteer Management
13187071,6/1/2015 18:13:57,Female,United States of America,United States of America,Lawyer,Social Sciences - Law,Open Access,Yes,Open Access Week,Communications and Media; Blogging; Advocacy and Policy
19566875,6/1/2015 18:19:15,Male,Nigeria,Nigeria,Masters/professional student,None of these describes my field of study or expertise,Open Education,No,Open Education Week,Website Management / Design; Graphic Design; Community / Grassroots Organizing; Communications and Media; Event Logistics
31352409,6/1/2015 18:25:16,Male,New Zealand,New Zealand,PhD candidate,Natural Sciences - Computer and information sciences,Open Data,Yes,Open Access Week; Open Data Day,Coding; Website Management / Design; Community / Grassroots Organizing; Advocacy and Policy; Research about OpenCon's Issue Areas
26328430,6/1/2015 18:38:12,Male,Mexico,Mexico,PhD candidate,Natural Sciences - Computer and information sciences,Open Data,Yes,Open Data Day,Research about OpenCon's Issue Areas
32438761,6/1/2015 18:43:06,Male,Philippines,Philippines,PhD candidate,Medicine/Health Sciences - Basic medicine,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Event Logistics; Research about OpenCon's Issue Areas
10607811,6/1/2015 18:51:57,Female,Mexico,Mexico,Other: Alumni Relations Coordinator,Social Sciences - Educational sciences,Open Education,No,,Video Editing; Social Media Campaigns; Communications and Media; Blogging; Event Logistics
17260881,6/1/2015 18:55:07,Male,Ghana,Ghana,Faculty/teacher,Medicine/Health Sciences - Health sciences,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Event Logistics; Volunteer Management
38199030,6/1/2015 18:56:06,Female,United States of America,United States of America,Librarian,Social Sciences - Media and communications,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
34392164,6/1/2015 18:57:43,Female,Chile,Chile,Masters/professional student,Natural Sciences - Computer and information sciences,Open Education,Yes,,Coding; Community / Grassroots Organizing; Event Logistics; Volunteer Management
11483510,6/1/2015 19:00:18,Female,South Africa,South Africa,Masters/professional student,Social Sciences - Media and communications,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
13443396,6/1/2015 19:02:54,Male,Argentina,Argentina,Masters/professional student,Humanities - Other humanities,Open Access,Yes,Open Access Week,Website Management / Design; Video Editing; Social Media Campaigns; Blogging; Advocacy and Policy
20896400,6/1/2015 19:18:37,Female,United States of America,United States of America,PhD candidate,Social Sciences - Educational sciences,Open Access,Yes,Open Access Week; Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
13838393,6/1/2015 19:22:21,Male,United States of America,United States of America,PhD candidate,Natural Sciences - Biological sciences,Open Access,Yes,Open Access Week,Coding; Research about OpenCon's Issue Areas
23955607,6/1/2015 19:25:56,Male,Nigeria,Nigeria,Undergraduate student,Natural Sciences - Earth and related environmental sciences,Open Data,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
22120436,6/1/2015 19:27:57,Male,Mexico,Mexico,PhD candidate,Humanities - Other humanities,Open Access,Yes,Open Access Week,Website Management / Design; Communications and Media; Research about OpenCon's Issue Areas
30030746,6/1/2015 19:40:58,Female,Canada,Israel,Researcher (non-faculty),Humanities - Languages and literature,Open Education,Yes,Open Access Week; Open Education Week,Website Management / Design; Video Editing; Social Media Campaigns; Communications and Media; Blogging
22303745,6/1/2015 19:54:41,Male,Nigeria,Nigeria,Masters/professional student,Engineering/Technology - Environmental engineering,Open Access,Yes,,Community / Grassroots Organizing; Fundraising; Communications and Media; Event Logistics; Volunteer Management
88353955,6/1/2015 20:17:59,Male,Nigeria,Nigeria,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Access Week; Open Education Week; Open Data Day,Coding; Website Management / Design; Graphic Design; Blogging; Research about OpenCon's Issue Areas
10444482,6/1/2015 20:20:22,Male,Nigeria,Nigeria,Masters/professional student,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Education Week,Website Management / Design; Community / Grassroots Organizing; Social Media Campaigns; Blogging; Research about OpenCon's Issue Areas
32646787,6/1/2015 20:28:24,Male,Nigeria,Nigeria,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Access Week; Open Education Week,Graphic Design; Community / Grassroots Organizing; Fundraising; Communications and Media; Volunteer Management
38635073,6/1/2015 20:34:04,Male,United States of America,United States of America,Undergraduate student,Social Sciences - Economics and business,Open Education,Yes,Open Access Week; Open Education Week,Community / Grassroots Organizing; Fundraising; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
33603815,6/1/2015 20:59:11,Male,Australia,Australia,PhD candidate,Medicine/Health Sciences - Health sciences,Open Access,No,,Coding; Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Blogging
16643348,6/1/2015 21:05:10,Female,United States of America,United Kingdom,Librarian,Social Sciences - Sociology,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
25645140,6/1/2015 21:37:33,Female,Brazil,Brazil,Masters/professional student,Social Sciences - Other social sciences,Open Access,Yes,Open Access Week,Research about OpenCon's Issue Areas
38775028,6/1/2015 21:52:25,Female,Kazakhstan,New Zealand,PhD candidate,Social Sciences - Political Science,Open Access,Yes,,Advocacy and Policy; Event Logistics; Volunteer Management
95721491,6/1/2015 21:57:39,Male,United States of America,United States of America,"Other: Attorney, Online Professor",Social Sciences - Media and communications,Open Access,Yes,,Website Management / Design; Graphic Design; Video Editing
34413111,6/1/2015 21:58:08,Female,United States of America,United States of America,Masters/professional student,Social Sciences - Law,Open Access,No,,Social Media Campaigns; Communications and Media; Blogging
26527577,6/1/2015 22:02:35,Male,Philippines,Philippines,Faculty/teacher,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Data,Yes,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Community / Grassroots Organizing; Advocacy and Policy; Research about OpenCon's Issue Areas
22212705,6/1/2015 22:09:19,Male,Malaysia,Malaysia,PhD candidate,Natural Sciences - Earth and related environmental sciences,Open Access,Yes,Open Access Week; Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
24312813,6/1/2015 22:16:44,Male,Brazil,Brazil,Undergraduate student,Social Sciences - Political Science,Open Education,No,,Communications and Media; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas; Other: Translation
14719415,6/1/2015 22:36:07,Male,Pakistan,South Korea,Masters/professional student,Engineering/Technology - Other engineering and technologies,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Social Media Campaigns; Fundraising; Communications and Media; Research about OpenCon's Issue Areas
15243025,6/1/2015 22:54:18,Female,India,India,Researcher (non-faculty),None of these describes my field of study or expertise,Open Data,Yes,Open Access Week,Graphic Design; Community / Grassroots Organizing; Volunteer Management; Research about OpenCon's Issue Areas
24201271,6/1/2015 22:54:52,Male,Mexico,Mexico,Other: Data scientist,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Data,Yes,Open Data Day,Coding; Website Management / Design; Communications and Media; Advocacy and Policy; pdf scraping
38479190,6/1/2015 23:08:13,Male,Brazil,Brazil,Researcher (non-faculty),None of these describes my field of study or expertise,Open Education,Yes,,Coding; Community / Grassroots Organizing; Advocacy and Policy; Research about OpenCon's Issue Areas; Other: Magic
39028128,6/1/2015 23:09:07,Male,India,Hong Kong,PhD candidate,Natural Sciences - Biological sciences,Open Access,Yes,Open Access Week,Fundraising; Blogging; Event Logistics; Volunteer Management
12312247,6/1/2015 23:13:07,Male,India,India,Faculty/teacher,Social Sciences - Other social sciences,Open Access,Yes,,Social Media Campaigns; Communications and Media; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
32774941,6/1/2015 23:25:58,Male,Mexico,Mexico,Professional advocate,Social Sciences - Law,Open Access,Yes,,Social Media Campaigns; Communications and Media; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
11717955,6/1/2015 23:39:03,Male,South Korea,South Korea,Undergraduate student,Engineering/Technology - Civil engineering,Open Data,Yes,Open Data Day,Coding; Website Management / Design; Community / Grassroots Organizing; Volunteer Management; Research about OpenCon's Issue Areas
17621626,6/2/2015 0:01:17,Male,Haiti,Canada,PhD candidate,Social Sciences - Media and communications,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Communications and Media
41610691,6/2/2015 0:08:34,Male,Kenya,Kenya,Undergraduate student,Medicine/Health Sciences - Health sciences,Open Access,Yes,Open Access Week,Social Media Campaigns; Fundraising; Communications and Media; Research about OpenCon's Issue Areas
64308107,6/2/2015 0:16:44,Male,Pakistan,Kyrgyzstan,Other: International Civil Servant,Social Sciences - Political Science,Open Access,Yes,Open Data Day,Social Media Campaigns; Communications and Media; Advocacy and Policy; Volunteer Management
36553505,6/2/2015 0:22:49,Male,Afghanistan,Afghanistan,Undergraduate student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Graphic Design; Social Media Campaigns; Fundraising; Communications and Media; Volunteer Management
35257888,6/2/2015 0:27:40,Female,India,India,Other: between jobs,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Website Management / Design; Community / Grassroots Organizing; Advocacy and Policy; Research about OpenCon's Issue Areas
74557047,6/2/2015 0:37:43,Female,Mongolia,Mongolia,PhD candidate,Medicine/Health Sciences - Health sciences,Open Access,Yes,Open Access Week; Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Event Logistics
20065105,6/2/2015 0:39:48,Male,Pakistan,Pakistan,Researcher (non-faculty),Agricultural Sciences - Other agricultural sciences,Open Data,No,Open Data Day,Research about OpenCon's Issue Areas
37265451,6/2/2015 0:47:38,Male,Tanzania,Tanzania,Librarian,None of these describes my field of study or expertise,Open Education,No,Open Education Week,Fundraising; Communications and Media
36300643,6/2/2015 1:12:20,Male,United Kingdom,Hong Kong,Faculty/teacher,Natural Sciences - Earth and related environmental sciences,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Graphic Design; Communications and Media; Event Logistics; Volunteer Management
21581222,6/2/2015 1:27:04,Male,Pakistan,Pakistan,Other: Completed MS (Development Studies) recently,Social Sciences - Other social sciences,Open Education,No,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Event Logistics; Volunteer Management
14197954,6/2/2015 1:33:37,Male,Pakistan,Pakistan,Researcher (non-faculty),Natural Sciences - Biological sciences,Open Access,No,,Community / Grassroots Organizing; Social Media Campaigns; Volunteer Management
71245418,6/2/2015 1:35:13,Male,India,India,Researcher (non-faculty),Agricultural Sciences - Other agricultural sciences,Open Education,Yes,Open Access Week,Website Management / Design; Social Media Campaigns; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
30269862,6/2/2015 1:44:09,Female,Pakistan,Pakistan,Undergraduate student,Engineering/Technology - Mechanical engineering,Open Education,Yes,,Graphic Design; Social Media Campaigns; Communications and Media; Volunteer Management
11728906,6/2/2015 1:50:43,Male,Nepal,Nepal,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Event Logistics; Volunteer Management
35209993,6/2/2015 1:54:04,Male,Pakistan,Pakistan,Faculty/teacher,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,No,Open Access Week; Open Education Week; Open Data Day,Coding; Social Media Campaigns; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
34563608,6/2/2015 2:01:00,Male,Pakistan,Pakistan,Masters/professional student,Medicine/Health Sciences - Health sciences,Open Access,No,Open Access Week; Open Education Week; Open Data Day,Social Media Campaigns; Volunteer Management
35193445,6/2/2015 2:18:12,Male,Pakistan,Pakistan,Undergraduate student,Natural Sciences - Biological sciences,Open Access,Yes,Open Access Week,Coding; Website Management / Design; Video Editing; Social Media Campaigns; Blogging
24813571,6/2/2015 2:20:52,Male,India,India,Faculty/teacher,"Agricultural Sciences - Agriculture, forestry, and fisheries",Open Data,Yes,Open Data Day,Agriculture Research
20257213,6/2/2015 2:28:45,Male,Nigeria,Nigeria,Undergraduate student,None of these describes my field of study or expertise,Open Data,Yes,Open Data Day,Coding; Social Media Campaigns; Communications and Media; Blogging; Volunteer Management
40304415,6/2/2015 2:28:51,Female,Pakistan,Pakistan,Masters/professional student,Medicine/Health Sciences - Health sciences,Open Education,No,Open Access Week; Open Education Week; Open Data Day,Social Media Campaigns; Volunteer Management; Research about OpenCon's Issue Areas
34433805,6/2/2015 2:31:13,Male,Pakistan,Pakistan,Undergraduate student,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Education,Yes,,Coding; Website Management / Design; Community / Grassroots Organizing; Volunteer Management
45801370,6/2/2015 2:56:09,Male,Ethiopia,Ethiopia,Faculty/teacher,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,No,Open Access Week,Coding; Website Management / Design; Video Editing; Blogging
15356802,6/2/2015 3:02:23,Male,China,Hong Kong,PhD candidate,Social Sciences - Educational sciences,Open Education,Yes,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Volunteer Management; Research about OpenCon's Issue Areas
26316445,6/2/2015 3:03:08,Male,Pakistan,Pakistan,Masters/professional student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,No,Open Access Week,Coding; Blogging; Volunteer Management; Research about OpenCon's Issue Areas
35752078,6/2/2015 3:10:44,Female,India,India,Librarian,Social Sciences - Other social sciences,Open Access,Yes,Open Access Week,Advocacy and Policy; Research about OpenCon's Issue Areas; Other: Promotional awareness through writing/publications
15055504,6/2/2015 3:14:38,Female,Pakistan,Pakistan,Researcher (non-faculty),Social Sciences - Educational sciences,Open Education,Yes,Open Education Week,Social Media Campaigns; Communications and Media
30899974,6/2/2015 3:16:44,Female,Pakistan,Pakistan,Masters/professional student,Natural Sciences - Biological sciences,Open Access,No,,Video Editing; Fundraising; Volunteer Management
38850539,6/2/2015 3:21:02,Female,Pakistan,Pakistan,Researcher (non-faculty),Natural Sciences - Biological sciences,Open Access,No,,Fundraising; Volunteer Management
